,Ratio
2023-01-01,93.10557748828545
2023-01-02,30.895680751276497
2023-01-03,35.88473445675942
2023-01-04,14.873553998639373
2023-01-05,18.552827133396445
2023-01-06,24.104260404169917
2023-01-07,37.782987405256065
2023-01-08,8.182873092161822
2023-01-09,70.44361028988754
2023-01-10,85.09615843285019
2023-01-11,14.959653202949777
2023-01-12,84.92936042591452
2023-01-13,68.72587092568044
2023-01-14,85.495159489132
2023-01-15,84.48771250563064
2023-01-16,77.13099738314187
2023-01-17,10.646224191369818
2023-01-18,70.29226372895259
2023-01-19,79.01146873796404
2023-01-20,71.02001255064997
2023-01-21,87.98917049628179
2023-01-22,74.36701084876371
2023-01-23,38.84999463250865
2023-01-24,56.635215571353086
2023-01-25,83.27949357518031
2023-01-26,77.07200922684981
2023-01-27,77.54921815249666
2023-01-28,84.93044779499554
2023-01-29,83.77855957896519
2023-01-30,77.59982194344109
2023-01-31,71.38670584666093
2023-02-01,52.05402715543231
2023-02-02,18.933102687722204
2023-02-03,25.754707094429175
2023-02-04,27.809873230749645
2023-02-05,31.8934030471883
2023-02-06,29.786009977477956
2023-02-07,72.86775143080428
2023-02-08,96.1262304424549
2023-02-09,84.19290374849838
2023-02-10,82.70710004998548
2023-02-11,78.62394095125198
2023-02-12,83.7110555777985
2023-02-13,81.35325164398799
2023-02-14,79.98160004464984
2023-02-15,89.6318101654436
2023-02-16,88.54605100678675
2023-02-17,93.68722796448832
2023-02-18,85.86925610724882
2023-02-19,80.70686170075085
2023-02-20,37.247133609265525
2023-02-21,22.222710290013506
2023-02-22,31.016708855243813
2023-02-23,16.689761792218363
2023-02-24,20.768489184014353
2023-02-25,16.94653237258641
2023-02-26,28.984066279237645
2023-02-27,66.41220267494583
2023-02-28,88.37110521094148
2023-03-01,82.34765320500529
2023-03-02,79.85028323583231
2023-03-03,76.53671092486627
2023-03-04,85.31694572161238
2023-03-05,86.21603044045953
2023-03-06,54.99155584463665
2023-03-07,84.06470357772976
2023-03-08,10.463749621074115
2023-03-09,27.50903773023305
2023-03-10,26.909352396235164
2023-03-11,42.43057850907097
2023-03-12,46.10235298653943
2023-03-13,49.253278483372604
2023-03-14,77.22416422869394
2023-03-15,82.78765110097818
2023-03-16,81.63947283285117
2023-03-17,83.05888152942877
2023-03-18,84.21359562408624
2023-03-19,89.94304903327827
2023-03-20,87.93963900987248
2023-03-21,87.53294105152746
2023-03-22,88.7072130868038
2023-03-23,83.79792952506934
2023-03-24,86.49504499579487
2023-03-25,52.15630424203755
2023-03-26,21.081300476840756
2023-03-27,15.521759546965058
2023-03-28,31.94987395396104
2023-03-29,47.07218541298073
2023-03-30,41.19563539234183
2023-03-31,68.34247647350071
2023-04-01,80.3661111227372
2023-04-02,83.09949749510153
2023-04-03,80.76381506018686
2023-04-04,84.75775398369511
2023-04-05,77.68188271379935
2023-04-06,76.67906901422083
2023-04-07,87.18538581420653
2023-04-08,85.18467160015929
2023-04-09,75.17324107390944
2023-04-10,82.67844307414506
2023-04-11,84.84605934516105
2023-04-12,81.88081364301767
2023-04-13,81.33214940421644
2023-04-14,92.41903772749308
2023-04-15,83.46435095258731
2023-04-16,81.43905122231197
2023-04-17,77.54318691396281
2023-04-18,82.19438672322902
2023-04-19,79.7092860386614
2023-04-20,79.09739610587434
2023-04-21,79.69330490549103
2023-04-22,79.05996994828422
2023-04-23,81.64675854580862
2023-04-24,81.02030567584633
2023-04-25,91.71698781160288
2023-04-26,79.232201733661
2023-04-27,86.93467821250681
2023-04-28,81.28360229567119
2023-04-29,77.33489249453427
2023-04-30,83.95871485412691
2023-05-01,83.57920900318959
2023-05-02,89.37880321106566
2023-05-03,80.46203910747678
2023-05-04,81.58672052083858
2023-05-05,86.00569804210443
2023-05-06,86.58888380018155
2023-05-07,83.4427487775409
2023-05-08,82.09414605706965
2023-05-09,82.90403149661
2023-05-10,81.11260380590859
2023-05-11,81.38891603119255
2023-05-12,80.39482082946515
2023-05-13,78.49254673323793
2023-05-14,79.83322362932009
2023-05-15,80.5960411307968
2023-05-16,86.72556164809029
2023-05-17,87.09525763490298
2023-05-18,84.82187377424296
2023-05-19,80.13890221661707
2023-05-20,79.48706395267148
2023-05-21,80.16649390951471
2023-05-22,80.59442017419246
2023-05-23,79.81386338125559
2023-05-24,79.97250759265322
2023-05-25,85.63196885128096
2023-05-26,81.03381454311129
2023-05-27,82.0550602562974
2023-05-28,80.26999156604066
2023-05-29,81.0380060064559
2023-05-30,79.38369839342252
2023-05-31,78.59078023734108
2023-06-01,80.92954273190138
2023-06-02,82.03623136889807
2023-06-03,80.49062007044444
2023-06-04,84.23547395429607
2023-06-05,86.18947357951151
2023-06-06,84.7436333047366
2023-06-07,86.01211018150703
2023-06-08,82.50213035670468
2023-06-09,81.70826885260695
2023-06-10,80.28926172603404
2023-06-11,79.0335350902222
2023-06-12,82.37058663695937
2023-06-13,82.83899151264326
2023-06-14,82.47389818284145
2023-06-15,79.65545949080735
2023-06-16,83.36003483294425
2023-06-17,78.16145624466711
2023-06-18,76.7322278960554
2023-06-19,84.88671950188369
2023-06-20,83.29228130746174
2023-06-21,79.36341332362277
2023-06-22,78.38509934743824
2023-06-23,74.47439009853888
2023-06-24,81.04935978155184
2023-06-25,79.5958894459181
2023-06-26,79.31991789373238
2023-06-27,77.75627085608338
2023-06-28,81.4606290072095
2023-06-29,78.2591810431244
2023-06-30,77.26020732674377
2023-07-01,79.32146532003188
2023-07-02,80.63717217059852
2023-07-03,79.25322726749766
2023-07-04,89.18838525106445
2023-07-05,76.63014308542606
2023-07-06,87.63570997191688
2023-07-07,80.72576451572054
2023-07-08,75.37522528094551
2023-07-09,75.9784626688055
2023-07-10,78.1717007201057
2023-07-11,78.12380518327602
2023-07-12,80.1364924115717
2023-07-13,76.23102572853894
2023-07-14,75.75935513835671
2023-07-15,83.4726158510718
2023-07-16,75.78343259794492
2023-07-17,84.37410005538943
2023-07-18,82.20210393963843
2023-07-19,79.49305081891677
2023-07-20,81.63693983308626
2023-07-21,79.95389735394934
2023-07-22,78.90933832466993
2023-07-23,83.02491544998071
2023-07-24,76.66436145845631
2023-07-25,83.66212971663704
2023-07-26,80.43760428315466
2023-07-27,79.51816958869632
2023-07-28,84.39199033388765
2023-07-29,75.93775496190024
2023-07-30,70.6259907515176
2023-07-31,76.83198875118363
2023-08-01,77.04717875951641
2023-08-02,73.23593589119133
2023-08-03,87.65018018499254
2023-08-04,71.00310818565255
2023-08-05,71.31703081128444
2023-08-06,80.31614480265588
2023-08-07,80.76056082563275
2023-08-08,86.47046371767159
2023-08-09,84.85273391430546
2023-08-10,86.40957083163916
2023-08-11,90.48147543544893
2023-08-12,81.46591801162155
2023-08-13,72.10518406623031
2023-08-14,80.59685745038614
2023-08-15,74.42454820844617
2023-08-16,69.63525324366097
2023-08-17,77.58926350852903
2023-08-18,71.40349747531197
2023-08-19,73.16425883876596
2023-08-20,83.29224424946699
2023-08-21,74.84054816010794
2023-08-22,79.16763366168514
2023-08-23,76.0948281144828
2023-08-24,79.22898747284985
2023-08-25,84.93120762178668
2023-08-26,80.61895878502041
2023-08-27,71.13829718098307
2023-08-28,82.44513310332543
2023-08-29,81.00245179692398
2023-08-30,79.12610824834914
2023-08-31,76.53898738964484
2023-09-01,83.17452834148826
2023-09-02,78.75337885217509
2023-09-03,87.55098786188732
2023-09-04,73.98524148430529
2023-09-05,76.88261287676433
2023-09-06,74.16206242895372
2023-09-07,80.38452429528492
2023-09-08,77.90356483448525
2023-09-09,73.2928682081218
2023-09-10,73.92800738626815
2023-09-11,80.36449864674957
2023-09-12,89.73006061541794
2023-09-13,82.57441556174729
2023-09-14,74.2199367495888
2023-09-15,84.69077679664028
2023-09-16,77.37853549180848
2023-09-17,77.44959173096743
2023-09-18,81.23432797020511
2023-09-19,89.87920469079886
2023-09-20,83.9712665960102
2023-09-21,82.7851725301259
2023-09-22,75.075680705303
2023-09-23,73.38905400796143
2023-09-24,74.28872035018242
2023-09-25,78.06297965607504
2023-09-26,72.42741019310878
2023-09-27,78.19998325512444
2023-09-28,76.08067027933008
2023-09-29,93.94195448374305
2023-09-30,76.19638390626638
2023-10-01,78.07580904853839
2023-10-02,99.60143151479609
2023-10-03,83.86593260974408
2023-10-04,80.99078143211666
2023-10-05,96.19097553691451
2023-10-06,83.63486733355852
2023-10-07,81.30885493797761
2023-10-08,85.22260087019767
2023-10-09,82.5154309538782
2023-10-10,83.44558133271562
2023-10-11,95.28225550278877
2023-10-12,77.19637671351407
2023-10-13,79.34175913734265
2023-10-14,84.08472849872412
2023-10-15,84.83947129365154
2023-10-16,80.60461042477027
2023-10-17,85.0302503804373
2023-10-18,81.66886357201628
2023-10-19,78.1232595002868
2023-10-20,82.85551273624004
2023-10-21,89.06935197197382
2023-10-22,86.05197881447201
2023-10-23,77.75708210532963
2023-10-24,86.71452867380624
2023-10-25,83.39701201502696
2023-10-26,89.27574605281667
2023-10-27,83.33224256070496
2023-10-28,84.26055569325166
2023-10-29,81.23991026644555
2023-10-30,84.83692785463376
2023-10-31,94.0655011944471
2023-11-01,88.54465238993794
2023-11-02,89.47115291163925
2023-11-03,0.0
2023-11-04,74.11338780928742
2023-11-05,63.63296162684957
2023-11-06,67.93766992922863
2023-11-07,77.3452074434002
2023-11-08,69.61127514674689
2023-11-09,91.19215687954
2023-11-10,93.11747353537842
2023-11-11,85.21194657325687
2023-11-12,82.79534736750979
2023-11-13,86.34704406787095
2023-11-14,86.55431345631845
2023-11-15,71.63293830775947
2023-11-16,84.80722035529281
2023-11-17,70.64313561660512
2023-11-18,89.18789924425174
2023-11-19,76.60655733730016
2023-11-20,46.141890522992924
2023-11-21,87.86749699806948
2023-11-22,70.70157022618146
2023-11-23,85.66971118592186
2023-11-24,79.08130494122521
2023-11-25,23.496625144086362
2023-11-26,32.92979295045123
2023-11-27,16.310575006567834
2023-11-28,21.926372667441697
2023-11-29,11.40724528076415
2023-11-30,4.6249736324658794
2023-12-01,4.618681429855558
2023-12-02,3.489722276428774
2023-12-03,4.483677637301909
2023-12-04,4.309440990194629
2023-12-05,1.9013789421457967
2023-12-06,5.39675413075806
2023-12-07,0.0
2023-12-08,9.545855103487229
2023-12-09,20.891752383732705
2023-12-10,0.0
2023-12-11,48.312705253293785
2023-12-12,25.449567574608096
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,27.98855926320106
2023-12-16,32.541767431045514
2023-12-17,74.30332344078722
2023-12-18,71.52082744712621
2023-12-19,61.572110812483466
2023-12-20,14.211389406330849
2023-12-21,39.476801090611
2023-12-22,41.77499737947156
2023-12-23,2.370150887822009
2023-12-24,8.462959194940307
2023-12-25,11.955689855330903
2023-12-26,13.520375168089176
2023-12-27,13.608558026699416
2023-12-28,4.070643075998787
2023-12-29,64.19362662071077
2023-12-30,13.313960901680447
2023-12-31,0.28287662581502
